
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.2.7.RELEASE)

2020-05-14 16:03:11.570  INFO 32808 --- [           main] .i.s.s.i.ImoocSpringbootStudyApplication : Starting ImoocSpringbootStudyApplication v0.0.1-SNAPSHOT on dydeMacBook-Pro.local with PID 32808 (/Users/dy/IdeaProjects/imooc-springboot-study/target/imooc-springboot-study.jar started by dy in /Users/dy/IdeaProjects/imooc-springboot-study/target)
2020-05-14 16:03:11.575  INFO 32808 --- [           main] .i.s.s.i.ImoocSpringbootStudyApplication : No active profile set, falling back to default profiles: default
2020-05-14 16:03:13.890  INFO 32808 --- [           main] trationDelegate$BeanPostProcessorChecker : Bean 'asyncPoolConfig' of type [com.imooc.springboot.study.imoocspringbootstudy.config.AsyncPoolConfig$$EnhancerBySpringCGLIB$$46694d74] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-14 16:03:14.637  INFO 32808 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8000 (http)
2020-05-14 16:03:14.670  INFO 32808 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-05-14 16:03:14.670  INFO 32808 --- [           main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-05-14 16:03:14.838  INFO 32808 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/imooc]  : Initializing Spring embedded WebApplicationContext
2020-05-14 16:03:14.838  INFO 32808 --- [           main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3130 ms
2020-05-14 16:03:15.453  INFO 32808 --- [           main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService
2020-05-14 16:03:15.454  INFO 32808 --- [           main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'getAsyncExecutor'
2020-05-14 16:03:16.259  INFO 32808 --- [           main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService 'taskScheduler'
2020-05-14 16:03:16.272  INFO 32808 --- [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 16 endpoint(s) beneath base path '/actuator'
2020-05-14 16:03:16.351  INFO 32808 --- [   scheduling-1] c.i.s.s.i.schedule.BootSchedule          : schedule01 ---> 16:03:16
2020-05-14 16:03:16.355  INFO 32808 --- [   scheduling-1] c.i.s.s.i.schedule.BootSchedule          : schedule02 ---> 16:03:16
2020-05-14 16:03:16.416  INFO 32808 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8000 (http) with context path '/imooc'
2020-05-14 16:03:16.421  INFO 32808 --- [           main] .i.s.s.i.ImoocSpringbootStudyApplication : Started ImoocSpringbootStudyApplication in 6.023 seconds (JVM running for 6.741)
